V##cpos=V|m=ind|n=p|p=2|t=cond##	Ver:CPre+PL+P2
V##cpos=V|m=ind|n=p|p=2|t=impft##	Ver:IImp+PL+P2
V##cpos=V|m=ind|n=p|p=2|t=pst##	Ver:Ipre+PL+P2
V##cpos=V|m=ind|n=p|p=3|t=cond##	Ver:CPre+PL+P3
V##cpos=V|m=ind|n=p|p=3|t=fut##	Ver:IFut+PL+P3
V##cpos=V|m=ind|n=p|p=3|t=impft##	Ver:IImp+PL+P3
V##cpos=V|m=ind|n=p|p=3|t=past##	Ver:IPSim+PL+P3
V##cpos=V|m=ind|n=p|p=3|t=pst##	Ver:IPre+PL+P3
V##cpos=V|m=ind|n=s|p=1|t=cond##	Ver:CPre+SG+P1
V##cpos=V|m=ind|n=s|p=1|t=pst##	Ver:IPre+SG+P1
V##cpos=V|m=ind|n=s|p=2|t=pst##	Ver:I+SG+P2
V##cpos=V|m=ind|n=s|p=3|t=cond##	Ver:CPre+SG+P3
V##cpos=V|m=ind|n=s|p=3|t=fut##	Ver:IFut+SG+P3
V##cpos=V|m=ind|n=s|p=3|t=impft##	Ver:IImp+SG+P3
V##cpos=V|m=ind|n=s|p=3|t=past##	Ver:IPSim+SG+P3
V##cpos=V|m=ind|n=s|p=3|t=pst##	Ver:IPre+SG+P3
V##cpos=V|m=ind|n=s|p=3|t=pst|pred=y##	Ver:IPre+SG+P3
V+	Ver:
VIMP##cpos=V|m=imp|mwehead=NC+|n=p|p=2|t=pst|pred=y##	Ver:ImPre+PL+P2
VIMP##cpos=V|m=imp|n=p|p=1|t=pst##	Ver:ImPre+PL+P1
VIMP##cpos=V|m=imp|n=p|p=2|t=pst##	Ver:ImPre+PL+P2
VINF##cpos=V|m=inf##	Ver:Inf
VINF##cpos=V|m=inf|mwehead=NC+|pred=y##	Ver:Inf
VINF##cpos=V|m=inf|mwehead=NPP+|pred=y##	Ver:Inf
VINF##cpos=V|m=inf|mwehead=VINF+|pred=y##	Ver:Inf
VINF##cpos=V|m=inf|pred=y##	Ver:Inf
VINF+	Ver:Inf
VN	VN:
VPinf	VP:Inf
VPP##cpos=V|g=f|m=part|mwehead=NC+|n=s|t=past|pred=y##	Ver:PPas+Fem+SG
VPP##cpos=V|g=f|m=part|n=p|t=past##	Ver:PPas+Fem+PL
VPP##cpos=V|g=f|m=part|n=p|t=past|pred=y##	Ver:PPas+Fem+PL
VPP##cpos=V|g=f|m=part|n=s|t=past##	Ver:PPas+Fem+SG
VPP##cpos=V|g=f|m=part|n=s|t=past|pred=y##	Ver:PPas+Fem+SG
VPP##cpos=V|g=m|m=part|mwehead=VPP+|n=s|t=past|pred=y##	Ver:PPas+Mas+SG
VPP##cpos=V|g=m|m=part|mwehead=VPP+|t=past|pred=y##	Ver:PPas+Mas
VPP##cpos=V|g=m|m=part|n=p|t=past##	Ver:PPas+Mas+PL
VPP##cpos=V|g=m|m=part|n=p|t=past|pred=y##	Ver:PPas+Mas+PL
